LGA/Ring/SD NAME,Mar-90,Jun-90,Sep-90,Dec-90,Mar-91,Jun-91,Sep-91,Dec-91,Mar-92,Jun-92,Sep-92,Dec-92,Mar-93,Jun-93,Sep-93,Dec-93,Mar-94,Jun-94,Sep-94,Dec-94,Mar-95,Jun-95,Sep-95,Dec-95,Mar-96,Jun-96,Sep-96,Dec-96,Mar-97,Jun-97,Sep-97,Dec-97,Mar-98,Jun-98,Sep-98,Dec-98,Mar-99,Jun-99,Sep-99,Dec-99,Mar-00,Jun-00,Sep-00,Dec-00,Mar-01,Jun-01,Sep-01,Dec-01,Mar-02,Jun-02,Sep-02,Dec-02,Mar-03,Jun-03,Sep-03,Dec-03,Mar-04,Jun-04,Sep-04,Dec-04,Mar-05,Jun-05,Sep-05,Dec-05,Mar-06,Jun-06,Sep-06,Dec-06,Mar-07,Jun-07,Sep-07,Dec-07,Mar-08,Jun-08,Sep-08,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14
GREATER SYDNEY,39542,37311,108382,36346,40521,37497,39508,37446,40430,38108,40299,38102,42490,38445,41556,39678,43942,40169,43614,39789,44437,39951,43415,40987,45884,42049,44378,42525,44187,45566,46836,44457,47113,44604,47876,44805,47859,44885,47630,46350,48023,45959,46705,45153,51592,47946,50743,49632,51006,49388,53778,50164,52946,48241,53387,51098,52709,47681,52053,49395,49870,48496,51015,48287,50129,45995,49492,46972,46778,43671,46276,44009,42312,41522,44334,41310,42568,41948,44715,41980,42413,41319,45081,42090,41930,41178,45163,42078,44825,42089,46950,45278,44593,44669,48247,45986,44816,44628,49042
Inner Ring,14411,13101,13298,13121,15122,13427,14152,13433,15254,13355,14383,13374,15689,13261,14437,13627,15828,13690,15226,13821,15979,13177,14824,13775,16264,14237,15377,14732,15970,15704,16398,15551,17119,15326,17137,16129,17601,15559,16826,16179,17485,15932,16468,16381,19704,16984,18842,18770,20077,18424,19936,18526,20101,16997,19630,18070,20115,16984,19309,18234,19496,17361,18961,17800,19307,16276,18106,16913,17292,15202,16890,15899,15857,15000,16347,14647,15907,14876,16609,15415,15828,14774,16470,14992,15392,14376,16143,14735,16070,14463,16691,15917,16043,15088,16750,15646,16072,14737,17106
Ashfield,804,739,709,776,859,785,849,730,846,731,781,756,804,719,743,713,819,707,718,694,707,565,685,631,730,646,629,649,684,633,686,664,773,684,759,669,719,621,737,661,684,620,667,674,784,606,708,699,831,702,826,776,865,713,770,749,784,615,697,695,745,626,709,658,733,625,668,606,679,572,589,594,585,523,572,556,549,506,577,592,608,518,553,521,560,530,557,523,631,539,591,597,623,507,592,593,552,549,603
Botany Bay,411,315,338,375,396,347,349,367,395,369,351,354,399,335,376,336,394,370,373,353,358,278,311,314,343,324,319,353,340,326,406,380,392,380,380,341,419,343,366,412,395,338,326,337,424,365,391,386,447,414,365,388,451,361,411,331,403,332,354,300,469,341,418,403,441,379,367,358,397,354,324,342,298,272,372,364,339,322,350,356,358,280,321,380,463,350,380,347,401,358,417,532,479,476,474,516,577,394,626
Lane Cove,465,427,426,410,480,434,450,398,472,414,442,382,554,428,440,383,454,401,461,443,528,426,499,407,485,438,453,429,484,419,439,464,508,386,490,457,457,397,435,455,441,408,389,390,638,485,439,484,524,497,430,418,492,492,479,431,432,362,415,394,474,387,371,372,486,348,372,391,399,353,361,372,333,339,346,360,367,362,353,374,358,335,356,324,327,326,375,339,379,337,368,313,340,314,373,331,386,402,413
Leichhardt,950,797,867,811,1008,915,893,802,994,915,916,881,1008,885,924,818,1031,865,948,852,948,831,865,823,1028,1194,1008,832,929,896,997,921,1053,955,1120,1001,1187,993,1122,1101,1161,1133,1042,1124,1231,1297,1216,1235,1212,1153,1238,1221,1277,1096,1148,1162,1243,1129,1195,1085,1160,1052,1120,1053,1106,965,1039,1059,1001,928,957,917,882,920,911,891,946,933,943,909,970,870,975,946,859,856,982,860,942,875,952,905,941,835,977,893,889,814,945
Marrickville,1547,1399,1450,1419,1632,1474,1476,1413,1607,1407,1492,1289,1552,1427,1435,1397,1603,1310,1408,1303,1691,1254,1415,1350,1556,1445,1363,1463,1517,1514,1520,1530,1631,1446,1504,1478,1717,1448,1531,1508,1676,1465,1366,1440,1637,1552,1433,1500,1620,1658,1811,1523,1829,1655,1795,1522,1849,1623,1684,1408,1651,1542,1552,1504,1527,1417,1529,1434,1443,1295,1320,1373,1370,1258,1206,1173,1358,1228,1258,1256,1302,1222,1354,1164,1263,1218,1365,1284,1400,1228,1441,1415,1355,1373,1341,1335,1433,1363,1427
Mosman,504,537,525,533,544,588,533,476,546,527,535,514,532,474,533,489,539,486,548,483,528,488,546,502,538,514,495,514,509,527,610,496,536,491,579,548,502,536,552,540,542,528,521,515,579,536,614,574,620,541,622,584,516,547,583,528,508,489,547,567,492,489,514,492,479,459,484,468,475,410,476,404,399,441,476,416,406,457,480,441,408,448,482,416,420,425,445,415,410,433,501,460,422,403,434,423,420,368,442
North Sydney,1747,1872,1779,1709,2029,1754,1866,1763,2060,1850,1891,1755,2041,1817,1910,1735,2096,1901,2014,1920,2083,1832,2000,1764,2107,1846,2014,1928,2059,1999,2001,2025,2157,1939,2130,1967,2070,2014,2113,1913,2115,2009,2017,1990,2435,2145,2175,2099,2250,2134,2180,2112,2239,1886,2148,1895,2165,1982,1959,2099,2139,2068,2019,1907,2026,1877,2001,1802,1920,1767,1959,1765,1824,1675,1904,1665,1778,1696,1944,1785,1788,1672,1889,1711,1596,1694,1727,1607,1770,1574,1827,1744,1783,1662,1791,1688,1799,1724,1717
Randwick,2223,1799,1806,1912,2360,1685,1967,1948,2341,1731,2037,1790,2624,1594,2028,1958,2474,1775,2243,1960,2377,1760,2001,1867,2227,1890,1978,2019,2329,2273,2238,2096,2578,2142,2212,2098,2605,1929,2081,2084,2559,1923,2203,1979,2806,1949,2390,2312,2689,2036,2687,2337,2942,1903,2524,2192,2843,1899,2518,2165,2672,1872,2464,2211,2631,1921,2363,2131,2501,1788,2241,1930,2283,1843,2139,1896,2217,1810,2192,1975,2212,1857,2177,1958,2220,1787,2214,1891,2235,1795,2044,1944,2187,1880,2138,2027,2128,1738,2145
