All Dwellings,Total Bonds Held (Number) by Quarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA/Ring/SD NAME,Mar-90,Jun-90,Sep-90,Dec-90,Mar-91,Jun-91,Sep-91,Dec-91,Mar-92,Jun-92,Sep-92,Dec-92,Mar-93,Jun-93,Sep-93,Dec-93,Mar-94,Jun-94,Sep-94,Dec-94,Mar-95,Jun-95,Sep-95,Dec-95,Mar-96,Jun-96,Sep-96,Dec-96,Mar-97,Jun-97,Sep-97,Dec-97,Mar-98,Jun-98,Sep-98,Dec-98,Mar-99,Jun-99,Sep-99,Dec-99,Mar-00,Jun-00,Sep-00,Dec-00,Mar-01,Jun-01,Sep-01,Dec-01,Mar-02,Jun-02,Sep-02,Dec-02,Mar-03,Jun-03,Sep-03,Dec-03,Mar-04,Jun-04,Sep-04,Dec-04,Mar-05,Jun-05,Sep-05,Dec-05,Mar-06,Jun-06,Sep-06,Dec-06,Mar-07,Jun-07,Sep-07,Dec-07,Mar-08,Jun-08,Sep-08,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14
GREATER SYDNEY,,,,,,,,,,,,,,,,,,,,,,,,,310606,310356,316994,319828,323038,326655,328129,331471,333497,334738,338666,341460,345693,347530,350550,351991,358201,359952,364248,367611,370637,370439,371629,372232,375096,375687,379008,382010,387192,389602,395268,399296,404605,406275,410850,415457,419094,420775,425048,428800,431616,431739,434812,438293,440689,439948,440534,441904,442107,441266,443351,445447,445510,442342,441395,441531,442674,443081,445547,455583,458063,459707,463436,466984,468297,470279,475538,482444,485477,489205,493083,500085,491663,495741,500138
Inner Ring,,,,,,,,,,,,,,,,,,,,,,,,,112390,109342,113798,114632,115806,116887,117007,118192,119134,119128,120465,122082,124082,124182,125128,125988,128266,128385,130204,131710,133692,133603,137857,138457,139999,139727,136678,137755,140031,140048,141684,142774,144890,144899,146355,147991,149994,150014,151078,152277,153872,153255,154076,155300,155984,154734,154481,154811,155098,154391,155053,155584,156120,155096,155192,155516,156022,155655,155942,158771,159562,159449,160348,161374,161677,161390,162738,164812,165531,165942,166600,168484,166470,166825,167722
Ashfield,,,,,,,,,,,,,,,,,,,,,,,,,6140,6157,6126,6130,6160,6152,6090,6102,6257,6258,6291,6337,6406,6360,6410,6336,6357,6375,6425,6509,6554,6548,6518,6471,6579,6561,6577,6589,6749,6780,6804,6872,6957,6943,6923,6970,7051,7072,7081,7096,7108,7106,7127,7112,7129,7139,7116,7075,7050,7012,7010,7038,7030,6925,6869,6889,6961,6893,6849,6906,7001,7040,7054,7047,7122,7144,7222,7298,7355,7351,7335,7445,7242,7272,7313
Botany Bay,,,,,,,,,,,,,,,,,,,,,,,,,3263,3268,3275,3315,3315,3326,3363,3396,3431,3468,3495,3497,3560,3543,3533,3534,3587,3618,3654,3656,3706,3717,3695,3651,3666,3689,3656,3656,3706,3733,3745,3740,3770,3742,3750,3705,3839,3880,3981,4035,4098,4150,4155,4142,4205,4225,4186,4172,4179,4123,4173,4216,4210,4210,4198,4164,4194,4183,4181,4414,4556,4561,4596,4640,4631,4607,4658,4824,4928,5038,5122,5266,5381,5397,5558
Lane Cove,,,,,,,,,,,,,,,,,,,,,,,,,3491,3484,3458,3432,3487,3469,3421,3473,3528,3457,3488,3500,3501,3467,3419,3435,3447,3448,3450,3445,3642,3667,3572,3572,3634,3671,3616,3618,3636,3694,3708,3699,3694,3687,3655,3639,3688,3649,3645,3616,3695,3688,3665,3691,3721,3719,3651,3661,3661,3655,3648,3670,3672,3633,3653,3676,3669,3671,3640,3673,3654,3667,3710,3696,3713,3706,3738,3730,3736,3761,3793,3866,3897,3966,4021
Leichhardt,,,,,,,,,,,,,,,,,,,,,,,,,6804,6860,6969,6991,7034,7096,7108,7131,7253,7256,7403,7534,7782,7794,7954,8022,8227,8343,8469,8588,8704,8848,8875,8908,8930,8893,8935,9081,9234,9177,9180,9210,9261,9282,9311,9324,9401,9391,9402,9383,9425,9359,9313,9313,9354,9283,9203,9152,9141,9135,9158,9251,9293,9262,9248,9274,9262,9206,9179,9444,9419,9390,9416,9435,9421,9422,9437,9504,9541,9520,9529,9588,9435,9424,9413
Marrickville,,,,,,,,,,,,,,,,,,,,,,,,,11779,11871,11899,11997,12115,12234,12261,12333,12364,12421,12481,12515,12690,12741,12819,12895,13244,13289,13378,13435,13502,13568,13390,13378,13398,13515,13925,13915,14204,14360,14554,14537,14764,14921,15051,14637,14761,14870,14969,15039,15159,15161,15235,15270,15359,15344,15248,15230,15280,15295,15228,15266,15294,15231,15163,15169,15236,15219,15263,15553,15591,15672,15658,15771,15867,15849,15993,16241,16299,16451,16484,16629,16366,16520,16574
Mosman,,,,,,,,,,,,,,,,,,,,,,,,,4200,4210,4165,4190,4215,4184,4246,4250,4258,4216,4264,4320,4364,4369,4387,4417,4445,4486,4485,4490,4512,4493,4471,4444,4473,4365,4264,4294,4345,4341,4361,4399,4400,4373,4422,4493,4512,4506,4470,4507,4480,4462,4461,4494,4469,4392,4385,4369,4367,4313,4308,4345,4370,4362,4351,4390,4375,4386,4407,4448,4448,4462,4472,4486,4480,4452,4487,4530,4548,4531,4517,4541,4502,4482,4486
North Sydney,,,,,,,,,,,,,,,,,,,,,,,,,14690,14725,14691,14767,14921,14978,14856,14998,15021,14969,15034,15185,15261,15254,15269,15234,15391,15300,15506,15649,15856,15758,15678,15585,15599,15593,15781,15833,16037,16022,16052,16044,16152,16257,16254,16504,16687,16797,16925,17008,17155,17083,17087,17216,17292,17109,17100,17068,17129,16974,17075,17102,17134,16990,17016,17103,17115,17020,17015,17307,17310,17321,17367,17481,17519,17436,17535,17753,17838,17850,17807,17859,17880,17972,17946
Randwick,,,,,,,,,,,,,,,,,,,,,,,,,16688,16806,16929,17001,17276,17669,17454,17567,17749,17829,17886,17993,18314,18158,18183,18152,18607,18547,18730,18853,19235,19119,19112,19200,19455,19252,19418,19436,19905,19728,19830,19755,20176,19985,20141,20217,20570,20452,20499,20601,20945,20787,20977,21134,21396,21230,21230,21261,21435,21325,21370,21345,21545,21508,21465,21430,21584,21502,21525,21678,21911,21902,22177,22216,22125,22077,22202,22416,22552,22580,22642,22942,22770,22773,22799
