LGA/Ring/SD NAME,Mar-90,,Jun-90,,Sep-90,,Dec-90,,Mar-91,,Jun-91,,Sep-91,,Dec-91,,Mar-92,,Jun-92,,Sep-92,,Dec-92,,Mar-93,,Jun-93,,Sep-93,,Dec-93,,Mar-94,,Jun-94,,Sep-94,,Dec-94,,Mar-95,,Jun-95,,Sep-95,,Dec-95,,Mar-96,,Jun-96,,Sep-96,,Dec-96,,Mar-97,,Jun-97,,Sep-97,,Dec-97,,Mar-98,,Jun-98,,Sep-98,,Dec-98,,Mar-99,,Jun-99,,Sep-99,,Dec-99,,Mar-00,,Jun-00,,Sep-00,,Dec-00,,Mar-01,,Jun-01,,Sep-01,,Dec-01,,Mar-02,,Jun-02,,Sep-02,,Dec-02,,Mar-03,,Jun-03,,Sep-03,,Dec-03,,Mar-04,,Jun-04,,Sep-04,,Dec-04,,Mar-05,,Jun-05,,Sep-05,,Dec-05,,Mar-06,,Jun-06,,Sep-06,,Dec-06,,Mar-07,,Jun-07,,Sep-07,,Dec-07,,Mar-08,,Jun-08,,Sep-08,,Dec-08,,Mar-09,,Jun-09,,Sep-09,,Dec-09,,Mar-10,,Jun-10,,Sep-10,,Dec-10,,Mar-11,,Jun-11,,Sep-11,,Dec-11,,Mar-12,,Jun-12,,Sep-12,,Dec-12,,Mar-13,,Jun-13,,Sep-13,,Dec-13,,Mar-14,,Jun-14,,Sep-14,
GREATER SYDNEY,135,,135,,140,,140,,140,,140,,140,,135,,140,,140,,140,,140,,140,,140,,140,,140,,140,,145,,150,,150,,150,,155,,160,,160,,160,,165,,170,,170,,175,,175,,180,,180,,185,,190,,190,,200,,200,,210,,210,,220,,230,,240,,240,,250,,250,,250,,250,,250,,250,,250,,250,,250,,260,,260,,260,,260,,270,,270,,270,,275,,280,,280,,280,,285,,290,,290,,300,,300,,310,,320,,320,,330,,350,,350,,360,,360,,360,,370,,370,,375,,385,,390,,390,,400,,400,,410,,415,,420,,425,,430,,430,,430,,440,,440,,435,,450,,460,,460,,460,
Inner Ring,145,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,155,,155,,155,,155,,160,,165,,165,,170,,175,,175,,180,,185,,185,,195,,195,,200,,195,,200,,210,,210,,215,,220,,225,,230,,230,,240,,250,,260,,270,,265,,280,,280,,280,,275,,280,,280,,275,,270,,280,,280,,280,,280,,290,,290,,290,,290,,300,,300,,300,,300,,310,,320,,320,,320,,330,,340,,350,,350,,360,,375,,385,,385,,395,,390,,400,,400,,400,,410,,420,,420,,430,,450,,450,,450,,465,,460,,470,,465,,470,,475,,480,,475,,490,,500,,500,,500,
Ashfield,125,,125,,128,,130,,125,,125,,125,,125,,125,,125,,130,,125,,130,,125,,125,,125,,125,,130,,130,,130,,130,,130,,130,,140,,135,,140,,145,,145,,150,,150,,155,,150,,150,,155,,155,,160,,160,,160,,170,,160,,170,,180,,180,,190,,185,,185,,185,,180,,185,,190,,190,,190,,190,,200,,200,,200,,200,,200,,200,,200,,205,,200,,210,,205,,220,,215,,220,,220,,230,,230,,250,,250,,250,,275,,275,,290,,290,,300,,300,,300,,310,,320,,320,,320,,340,,350,,330,,350,,340,,350,,350,,360,,350,,363,,355,,360,,360,,360,,370,
Botany Bay,130,,135,s,125,s,135,,130,,130,,135,,130,s,130,,135,,135,s,130,,130,,130,,135,,135,,130,,135,,135,,143,,135,,135,,143,,150,,140,,143,,150,,150,,160,,160,,160,,160,,160,,160,,160,,165,,170,,165,s,175,,175,,175,,180,s,180,,180,,180,,175,,180,s,190,s,188,,190,s,180,s,180,,185,s,190,,190,s,193,s,190,s,180,s,195,s,185,s,200,s,200,,300,,200,,240,,220,,210,,215,,230,,230,s,228,,230,,250,s,240,s,325,,295,s,270,,300,s,300,,280,,300,,310,s,310,,320,s,430,,370,,360,,450,s,420,,485,s,385,,450,,480,,490,,365,,470,,500,,465,,490,
Lane Cove,150,s,155,s,148,s,148,s,153,s,150,s,150,s,150,s,140,s,158,s,148,s,150,s,150,,148,s,160,,160,s,160,s,160,s,155,s,175,s,173,,168,,175,,180,,180,,180,,190,,180,,190,,200,,190,,193,,190,,185,,215,s,200,s,200,,200,s,220,,233,,225,,235,s,240,,238,,230,,240,,230,,225,s,220,,220,,220,,220,s,240,,233,,245,,230,s,230,s,240,s,240,s,220,s,243,,238,s,260,,260,,250,,250,s,250,s,263,,263,s,260,s,285,s,290,s,320,s,330,s,335,s,325,s,325,s,350,s,335,s,330,s,350,s,345,s,350,s,360,s,365,s,370,s,400,s,420,s,390,,400,s,373,s,400,s,385,,398,s,420,,398,s,475,,498,,480,
Leichhardt,130,,130,,138,,130,,135,,130,,135,,135,,131,,130,,135,,135,,135,,135,,130,,140,,130,,130,,140,,140,,140,,140,,145,,150,,150,,160,,170,,170,,165,,170,,165,,175,,175,,180,,180,,180,,200,,200,,193,,210,,210,,205,,218,,220,,215,,225,,260,,233,,230,,250,,250,,300,,240,,235,,240,,230,,240,,250,,260,,260,,270,,273,,250,,263,,270,,268,,280,,288,,295,,295,,300,,320,,320,,345,,330,,350,,330,,370,,345,,350,,320,,375,,370,,380,,360,,400,,420,,400,,418,,420,,420,,443,,400,,410,,418,,440,,440,,440,,450,
Marrickville,115,,120,,120,,120,,120,,120,,120,,120,,120,,120,,120,,115,,115,,115,,115,,120,,120,,120,,120,,120,,125,,125,,130,,130,,130,,130,,135,,140,,145,,140,,145,,150,,150,,150,,155,,150,,150,,160,,160,,160,,165,,165,,170,,170,,175,,180,,175,,180,,175,,180,,180,,185,,180,,180,,180,,180,,193,,200,,190,,190,,190,,195,,200,,190,,208,,200,,220,,225,,220,,240,,240,,250,,260,,270,,280,,290,,285,,293,,300,,300,,300,,320,,320,,320,,335,,350,,350,,340,,350,,350,,360,,350,,385,,360,,380,,380,,390,,400,,395,
Mosman,165,,165,,165,,165,,170,,170,,160,,165,,163,,160,,165,,170,,165,,170,,170,,170,,170,,170,,175,,175,,185,,190,,185,,190,,200,,200,,200,,205,,210,,210,,220,,215,,220,,220,,220,,220,,230,,230,,240,,240,,250,,270,,260,,263,,260,,275,,258,,250,,250,,250,,250,,250,,250,,250,,250,,265,,265,,280,,260,,268,,270,,270,,283,,275,,280,,283,,300,,290,,310,,325,,330,,340,,350,,350,,360,,360,,380,,373,,350,,370,,390,,400,,400,,400,,405,,395,,400,,405,,420,,420,,410,,415,,428,,420,,440,,440,,445,,450,,450,
North Sydney,165,,165,,165,,170,,165,,165,,170,,169,,165,,165,,170,,170,,165,,170,,180,,175,,175,,180,,180,,190,,190,,195,,200,,200,,210,,215,,215,,220,,223,,230,,230,,240,,240,,240,,245,,250,,250,,260,,260,,270,,290,,290,,290,,290,,290,,300,,283,,280,,290,,285,,285,,280,,280,,290,,290,,290,,290,,300,,290,,300,,290,,310,,300,,320,,300,,320,,320,,330,,350,,360,,350,,350,,375,,380,,385,,380,,390,,390,,385,,390,,395,,400,,413,,420,,420,,450,,450,,450,,450,,450,,450,,450,,450,,460,,460,,470,,485,,480,,480,
Randwick,145,,145,,145,,145,,150,,148,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,160,,160,,150,,160,,165,,170,,165,,178,,180,,180,,190,,120,,190,,190,,200,,200,,210,,220,,215,,220,,230,,230,,243,,245,,250,,250,,260,,260,,250,,260,,270,,260,,250,,260,,260,,280,,260,,260,,263,,265,,260,,270,,270,,290,,280,,290,,300,,290,,295,,310,,320,,320,,320,,350,,350,,365,,360,,370,,370,,380,,380,,390,,400,,395,,400,,400,,420,,420,,420,,430,,450,,440,,430,,450,,450,,460,,450,,450,,460,,470,,450,
