Flats/Units,Total Bonds Held (Number) by Quarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA/Ring/SD NAME,Mar-90,Jun-90,Sep-90,Dec-90,Mar-91,Jun-91,Sep-91,Dec-91,Mar-92,Jun-92,Sep-92,Dec-92,Mar-93,Jun-93,Sep-93,Dec-93,Mar-94,Jun-94,Sep-94,Dec-94,Mar-95,Jun-95,Sep-95,Dec-95,Mar-96,Jun-96,Sep-96,Dec-96,Mar-97,Jun-97,Sep-97,Dec-97,Mar-98,Jun-98,Sep-98,Dec-98,Mar-99,Jun-99,Sep-99,Dec-99,Mar-00,Jun-00,Sep-00,Dec-00,Mar-01,Jun-01,Sep-01,Dec-01,Mar-02,Jun-02,Sep-02,Dec-02,Mar-03,Jun-03,Sep-03,Dec-03,Mar-04,Jun-04,Sep-04,Dec-04,Mar-05,Jun-05,Sep-05,Dec-05,Mar-06,Jun-06,Sep-06,Dec-06,Mar-07,Jun-07,Sep-07,Dec-07,Mar-08,Jun-08,Sep-08,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14
GREATER SYDNEY,,,,,,,,,,,,,,,,,,,,,,,,,120653,119863,123856,125238,126895,128407,129634,131519,132940,134184,136757,138848,141355,142663,144723,146605,150220,152000,154750,156947,159157,159239,160380,161081,162713,163060,164321,165271,167774,168280,170035,171209,173620,173889,175836,177718,179647,180249,182351,184049,186425,186456,188077,189938,190867,190185,190371,191114,191672,191285,192143,192624,192136,190321,189988,190717,191823,192310,193529,191948,193261,194103,195752,197145,197702,198130,200050,202982,204180,205564,207096,210451,207591,209323,211503
Inner Ring,,,,,,,,,,,,,,,,,,,,,,,,,53312,51688,54865,55492,56279,56878,57356,58442,59253,59799,61395,63116,64943,65605,66606,67588,69244,69985,71429,72508,73927,74067,76481,77151,78278,78291,76926,77544,78893,78771,79499,80058,81183,81052,82095,83118,84418,84310,84950,85834,87213,86896,87501,88346,88737,87925,87761,87921,88209,87787,88277,88486,88610,87742,87803,88175,88464,88346,88620,87718,87981,87861,88282,88863,89137,88789,89516,90727,91252,91420,91965,93363,92529,92907,93630
Ashfield,,,,,,,,,,,,,,,,,,,,,,,,,3224,3232,3250,3271,3292,3279,3204,3236,3322,3340,3379,3398,3425,3422,3476,3428,3501,3553,3620,3710,3801,3859,3884,3866,3974,3973,3991,3987,4126,4177,4194,4243,4309,4256,4242,4264,4295,4302,4277,4211,4153,4138,4154,4160,4165,4186,4160,4101,4083,4042,4068,4053,4042,3963,3907,3935,3988,3929,3862,3810,3857,3880,3893,3874,3946,3952,4008,4048,4099,4082,4079,4145,4044,4064,4066
Botany Bay,,,,,,,,,,,,,,,,,,,,,,,,,1757,1774,1783,1796,1777,1797,1808,1840,1871,1887,1903,1924,1961,1971,1960,1946,1979,2024,2056,2061,2087,2070,2040,2010,2003,2032,1999,1990,1988,1999,1995,1976,1999,1975,1965,1931,2021,2048,2138,2205,2289,2371,2399,2404,2439,2458,2441,2427,2425,2392,2413,2439,2431,2445,2439,2431,2486,2486,2479,2541,2602,2609,2636,2647,2640,2628,2659,2806,2895,2979,3048,3153,3292,3293,3432
Lane Cove,,,,,,,,,,,,,,,,,,,,,,,,,2029,2008,1985,1993,2023,2018,1995,2021,2044,2027,2077,2059,2069,2042,2043,2068,2097,2121,2110,2125,2271,2294,2256,2255,2309,2346,2287,2267,2295,2337,2350,2353,2361,2367,2328,2313,2333,2317,2326,2294,2361,2356,2332,2348,2339,2343,2286,2275,2274,2259,2241,2224,2214,2158,2161,2182,2166,2157,2123,2066,2039,2022,2031,2009,2042,2070,2117,2136,2161,2196,2250,2291,2330,2394,2468
Leichhardt,,,,,,,,,,,,,,,,,,,,,,,,,1844,1875,1934,1941,1944,1995,2013,2018,2103,2121,2191,2252,2395,2446,2520,2625,2780,2911,2958,3052,3126,3285,3335,3358,3349,3342,3350,3386,3452,3427,3440,3411,3417,3392,3412,3411,3439,3408,3412,3399,3409,3390,3358,3344,3341,3300,3300,3319,3322,3325,3311,3341,3341,3312,3300,3316,3286,3266,3260,3240,3250,3222,3243,3262,3249,3260,3244,3267,3300,3310,3335,3357,3355,3361,3378
Marrickville,,,,,,,,,,,,,,,,,,,,,,,,,4369,4457,4517,4622,4666,4765,4779,4872,4901,4969,5049,5118,5269,5322,5329,5367,5472,5554,5591,5595,5589,5612,5458,5472,5463,5482,5625,5562,5695,5795,5874,5838,5982,6053,6134,5877,5923,6005,6091,6151,6217,6244,6307,6351,6383,6370,6330,6369,6394,6397,6409,6442,6472,6457,6412,6384,6381,6370,6370,6287,6239,6225,6183,6268,6299,6286,6374,6477,6546,6684,6726,6836,6808,6938,7025
Mosman,,,,,,,,,,,,,,,,,,,,,,,,,2295,2302,2319,2326,2331,2312,2341,2361,2389,2388,2445,2490,2508,2527,2533,2571,2597,2646,2638,2631,2665,2654,2654,2663,2671,2599,2544,2548,2571,2554,2566,2568,2583,2575,2593,2624,2629,2641,2632,2658,2644,2632,2603,2610,2572,2540,2504,2489,2485,2440,2455,2494,2510,2493,2482,2504,2505,2515,2549,2530,2542,2538,2549,2553,2535,2513,2544,2565,2588,2587,2575,2607,2598,2567,2557
North Sydney,,,,,,,,,,,,,,,,,,,,,,,,,8509,8566,8569,8676,8771,8782,8766,8855,8927,8992,9102,9251,9417,9443,9473,9469,9603,9652,9866,9985,10197,10162,10141,10048,10086,10114,10260,10264,10379,10315,10268,10269,10269,10328,10307,10444,10549,10591,10648,10731,10905,10871,10914,11028,11139,11003,11047,10980,11056,10985,11034,11023,11040,10933,10966,11086,11130,11156,11214,11227,11273,11308,11336,11359,11361,11281,11342,11497,11608,11590,11558,11658,11670,11790,11777
Randwick,,,,,,,,,,,,,,,,,,,,,,,,,8113,8130,8323,8385,8615,8894,8940,9082,9222,9263,9411,9664,9916,9943,10037,10065,10416,10452,10652,10789,10919,10805,10827,10982,11214,11035,11143,11111,11269,11087,11100,11036,11280,11129,11150,11272,11434,11389,11406,11497,11696,11620,11798,11969,12188,12129,12122,12191,12277,12193,12221,12242,12316,12278,12253,12258,12305,12250,12302,12186,12252,12241,12407,12401,12514,12435,12514,12586,12676,12646,12668,12800,12721,12737,12715
