Separate Houses,Total Bonds Held (Number) by Quarter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA/Ring/SD NAME,Mar-90,Jun-90,Sep-90,Dec-90,Mar-91,Jun-91,Sep-91,Dec-91,Mar-92,Jun-92,Sep-92,Dec-92,Mar-93,Jun-93,Sep-93,Dec-93,Mar-94,Jun-94,Sep-94,Dec-94,Mar-95,Jun-95,Sep-95,Dec-95,Mar-96,Jun-96,Sep-96,Dec-96,Mar-97,Jun-97,Sep-97,Dec-97,Mar-98,Jun-98,Sep-98,Dec-98,Mar-99,Jun-99,Sep-99,Dec-99,Mar-00,Jun-00,Sep-00,Dec-00,Mar-01,Jun-01,Sep-01,Dec-01,Mar-02,Jun-02,Sep-02,Dec-02,Mar-03,Jun-03,Sep-03,Dec-03,Mar-04,Jun-04,Sep-04,Dec-04,Mar-05,Jun-05,Sep-05,Dec-05,Mar-06,Jun-06,Sep-06,Dec-06,Mar-07,Jun-07,Sep-07,Dec-07,Mar-08,Jun-08,Sep-08,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14
GREATER SYDNEY,,,,,,,,,,,,,,,,,,,,,,,,,71814,73110,74059,74876,75738,76588,77557,78633,78936,79361,80181,80530,81207,81783,82526,82803,84256,85066,86290,87346,87654,87845,88303,88613,89034,89125,89783,90418,91374,92075,93616,94775,95293,95616,96370,97013,97163,97337,98121,98972,98912,98826,99314,99842,100435,100419,100679,101055,100989,100951,101826,102691,102966,102427,102073,101921,101683,101759,102485,100810,101148,101578,102400,103233,103375,103777,105083,106388,106831,107601,108578,110144,108842,109839,110650
Inner Ring,,,,,,,,,,,,,,,,,,,,,,,,,7046,7180,7348,7402,7465,7485,7522,7586,7677,7639,7705,7855,8001,8015,8090,8136,8299,8329,8530,8735,8960,9118,9874,10006,10080,9980,9235,9255,9234,9195,9156,9188,9233,9291,9331,9282,9322,9309,9248,9271,9369,9418,9432,9487,9585,9558,9521,9632,9725,9699,9816,9961,10111,10166,10197,10251,10202,10133,10088,9960,9987,10022,10012,10020,10021,9962,9975,10013,9997,9950,9984,10056,9916,9984,9985
Ashfield,,,,,,,,,,,,,,,,,,,,,,,,,428,444,439,437,447,441,447,450,468,461,449,476,485,492,504,512,508,509,526,535,543,545,554,577,581,585,591,597,608,604,629,647,658,655,636,625,640,633,619,635,647,637,634,632,626,615,606,611,608,603,592,603,610,602,603,604,592,586,586,568,582,582,585,597,594,601,602,589,583,580,581,589,564,551,547
Botany Bay,,,,,,,,,,,,,,,,,,,,,,,,,457,468,479,484,487,483,490,500,499,509,515,524,535,517,510,520,532,527,542,561,574,575,556,547,544,540,516,509,520,503,516,514,526,531,544,542,546,541,552,545,537,542,550,544,549,547,546,549,548,545,552,563,567,552,551,549,543,534,541,521,523,516,515,520,526,524,525,532,535,540,549,563,545,540,531
Lane Cove,,,,,,,,,,,,,,,,,,,,,,,,,578,574,581,569,570,562,566,589,592,565,556,555,528,546,552,540,533,533,539,538,558,535,523,526,524,533,528,542,529,538,534,537,544,542,555,547,542,532,523,519,536,543,539,549,562,559,554,557,549,541,523,516,530,527,523,520,515,511,496,476,482,496,493,506,503,487,498,491,494,486,491,491,494,499,502
Leichhardt,,,,,,,,,,,,,,,,,,,,,,,,,1120,1141,1199,1208,1229,1246,1247,1246,1264,1241,1245,1254,1297,1267,1310,1320,1371,1395,1462,1492,1514,1553,1582,1634,1631,1647,1671,1668,1671,1679,1653,1658,1641,1655,1629,1643,1622,1639,1650,1662,1694,1703,1703,1734,1757,1772,1762,1780,1804,1806,1871,1925,1959,2016,2017,2009,2017,1987,1989,1993,1989,1969,1965,1928,1896,1857,1843,1856,1838,1800,1786,1785,1808,1827,1808
Marrickville,,,,,,,,,,,,,,,,,,,,,,,,,1216,1263,1316,1312,1301,1291,1310,1318,1334,1338,1394,1419,1466,1508,1521,1530,1570,1574,1615,1633,1699,1754,1780,1757,1768,1754,1757,1756,1757,1734,1719,1707,1710,1756,1785,1752,1761,1753,1749,1731,1756,1772,1781,1768,1789,1776,1746,1767,1814,1860,1902,1948,1967,1971,1986,2003,1992,1957,1937,1914,1914,1925,1922,1906,1911,1915,1937,1959,1975,1991,2026,2044,1969,2014,1988
Mosman,,,,,,,,,,,,,,,,,,,,,,,,,393,407,399,385,404,408,417,420,409,406,407,404,415,415,410,407,406,414,407,419,414,419,442,435,443,437,442,452,462,474,458,467,473,451,461,474,464,460,449,459,452,444,431,449,453,446,445,447,453,439,438,448,442,431,416,419,413,414,423,415,421,444,443,446,448,453,438,444,443,437,429,427,396,395,410
North Sydney,,,,,,,,,,,,,,,,,,,,,,,,,514,505,493,508,512,514,504,507,499,513,513,517,514,536,539,540,554,546,559,565,548,554,540,534,527,525,534,532,528,530,529,533,538,539,526,537,535,532,522,530,524,531,530,535,555,558,561,571,562,531,515,506,516,508,520,528,522,527,521,523,509,506,514,521,520,517,512,510,519,524,533,528,528,519,518
Randwick,,,,,,,,,,,,,,,,,,,,,,,,,1032,1055,1068,1076,1086,1102,1111,1123,1143,1143,1154,1168,1183,1153,1131,1121,1154,1164,1197,1216,1249,1244,1252,1285,1293,1268,1258,1300,1313,1314,1320,1322,1329,1328,1341,1335,1354,1340,1317,1326,1354,1383,1393,1424,1445,1429,1417,1430,1456,1426,1414,1412,1413,1435,1427,1441,1424,1426,1425,1424,1428,1439,1444,1474,1487,1486,1497,1503,1481,1472,1460,1481,1457,1471,1480
